"seq_name" "geno" "corv_abd" "corv_div" "corv_rich"
"250" "852_1009163" "BESC-353" 24 0.514096697 4
"251" "852_1009172" "BESC-357" 3 0.636514168 2
"252" "852_1009178" "BESC-359" 18.5 1.100755286 4.5
"253" "852_1009181" "BESC-361" 21 0.800045853 4
"254" "852_1009196" "BESC-374" 11 1.033562054 4
"255" "852_1009202" "BESC-381" 17 0.649248355 2
"256" "852_1009205" "BESC-385" 16 0.950986961 3
"257" "852_1009208" "BESC-386" 7 1.351783994 4
"258" "852_1009211" "BESC-393" 29 1.338989337 5
"259" "852_1009217" "BESC-402" 9 0.348832096 2
"260" "852_1009235" "BESC-413" 9 0.529706199 2
"261" "852_1009238" "BESC-421" 14 0.79631164 3
"262" "852_1009241" "BESC-423" 16 1.147136684 4
"263" "852_1009247" "BESC-425" 6 0.450561209 2
"264" "852_1009271" "BESC-470" 13 1.311431337 5
"265" "852_1009274" "BESC-804" 17 1.31565807 6
"266" "852_1009277" "BESC-808" 48.5 0.809876322 5
"267" "852_1009286" "BESC-820" 28 0.944843179 5
"268" "852_1009289" "BESC-821" 45 0.212626824 3
"269" "852_1009295" "BESC-826" 16.5 0.581167342 2.5
"270" "852_1009313" "BESC-844" 22 1.05979845 4
"271" "852_1009316" "BESC-845" 16 0.974314753 3
"272" "852_1009319" "BESC-847" 14 0.509137344 3
"273" "852_1009322" "BESC-848" 8.5 0.773148295 2.5
"274" "852_1009325" "BESC-850" 35 0.258640932 3
"275" "852_1009331" "BESC-854" 11 0.885574152 4
"276" "852_1009337" "BESC-858" 39 1.279940315 6.5
"277" "852_1009343" "BESC-864" 15 0.953271015 4
"278" "852_1009346" "BESC-872" 5 1.33217904 4
"279" "852_1009352" "BESC-877" 17 1.41613968 5
"280" "852_1009361" "BESC-884" 16 1.244016696 5
"281" "852_1009364" "BESC-899" 15 1.679204332 7
"282" "852_1009367" "BESC-907" 13 1.263625672 5
"283" "852_1009637" "GW-7973" 19 0.733541749 4
"284" "852_1009643" "GW-7977" 20 1.161120818 4
"285" "852_1009652" "GW-7985" 7 0.955699891 3
"286" "852_1009655" "GW-7986" 12.5 1.404918619 5
"287" "852_1009658" "GW-7988" 31 1.005664701 5
"288" "852_1009661" "GW-7989" 20 0.198515243 2
"289" "852_1009664" "GW-7990" 31 0.518700439 4
"290" "852_1009670" "GW-7992" 12 1.357977855 5
"291" "852_1009676" "GW-7994" 18 0.786701238 3
"292" "852_1009679" "GW-7996" 39 0.736054656 4
"293" "852_1009685" "GW-9580" 19 0.854806285 5
"294" "852_1009688" "GW-9581" 14 0 1
"295" "852_1009694" "GW-9587" 28.5 1.093308468 5
"296" "852_1009703" "GW-9596" 15 0.485094091 3
"297" "852_1009709" "GW-9758" 17 0.649248355 2
"298" "852_1009724" "GW-9764" 31 0.961756155 4
"299" "852_1009733" "GW-9771" 14 1.054720917 4
"300" "852_1009742" "GW-9775" 49 0.578534106 2
"301" "852_1009745" "GW-9776" 2 0.693147181 2
"302" "852_1009748" "GW-9777" 27 1.313304185 5
"303" "852_1009754" "GW-9780" 18 0.973648923 4
"304" "852_1009763" "GW-9785" 11 0.304636097 2
"305" "852_1009772" "GW-9788" 41 0.543270613 4
"306" "852_1009775" "GW-9792" 20 0.518186213 3
"307" "852_1009784" "GW-9795" 12 1.098612289 5
"308" "852_1009787" "GW-9796" 24 0.514096697 4
"309" "852_1009814" "GW-9811" 17 0.808269958 3
"310" "852_1009817" "GW-9813" 29 0.641575808 4
"311" "852_1009826" "GW-9816" 23 0.740011666 3
"312" "852_1009829" "GW-9817" 29 0.641575808 4
"313" "852_1009832" "GW-9818" 9 1.149059697 4
"314" "852_1009835" "GW-9819" 9 1.58109375 6
"315" "852_1009844" "GW-9824" 20 1.366158848 7
"316" "852_1009850" "GW-9829" 26 0.618977214 3
"317" "852_1009859" "GW-9832" 25 1.013312687 3
"318" "852_1009865" "GW-9835" 23.5 1.03408077 5
"319" "852_1009868" "GW-9837" 11 0.859967281 3
"320" "852_1009871" "GW-9838" 25 1.075582427 5
"321" "852_1009883" "GW-9844" 16 1.169992997 6
"322" "852_1009892" "GW-9847" 10 0.801818553 3
"323" "852_1009907" "GW-9853" 22 0.54811788 4
"324" "852_1009916" "GW-9857" 15 0.627705257 3
"325" "852_1009925" "GW-9861" 14 1.747868097 7
"326" "852_1009937" "GW-9869" 15 0.803314976 3
"327" "852_1009946" "GW-9873" 15 0.690923309 2
"328" "852_1009952" "GW-9875" 17 0 1
"329" "852_1009970" "GW-9889" 18 1.161591334 4
"330" "852_1009979" "GW-9892" 7 1.004242473 3
"331" "852_1009991" "GW-9903" 16 0.777462132 3
"332" "852_1009994" "GW-9904" 19 1.043547907 5
"333" "852_1009997" "GW-9905" 37 0.881019419 4
"334" "852_1010012" "GW-9914" 20 0.518186213 3
"335" "852_1010021" "GW-9920" 3 0.636514168 2
