"seq_name" "geno" "clats_abd" "clats_div" "clats_rich"
"212" "852_1003214" "BESC-269" 18 1.565445107 6
"213" "852_1003217" "BESC-274" 42 1.202131681 8
"214" "852_1003223" "BESC-284" 23 1.097777382 4
"215" "852_1003226" "BESC-288" 8 0.73562194 3
"216" "852_1003229" "BESC-292" 43 0.607749987 4
"217" "852_1003232" "BESC-299" 6 1.329661349 4
"218" "852_1003238" "BESC-321" 35 0.775194874 4
"219" "852_1003241" "BESC-327" 38 0.445940049 4
"220" "852_1003244" "BESC-330" 18 1.291906007 4
"221" "852_1003250" "BESC-344" 8 0.900256051 3
"222" "852_1003253" "BESC-363" 14 1.390437795 5
"223" "852_1003256" "BESC-365" 25 1.945809913 8
"224" "852_1003259" "BESC-376" 56 0.536399444 5
"225" "852_1003271" "BESC-394" 11 1.468139939 5
"226" "852_1003301" "BESC-442" 16 1.320888343 5
"227" "852_1003307" "BESC-449" 24 1.533686421 6
"228" "852_1003310" "BESC-457" 11 1.720193459 6
"229" "852_1003313" "BESC-458" 10 1.16828245 4
"230" "852_1003319" "BLCG-28-3" 8 0.376770161 2
"231" "852_1003325" "CHWH-27-5" 37 0.821816385 5
"232" "852_1003328" "CHWI-27-4" 14 1.215388101 5
"233" "852_1003334" "DEND-17-4" 24 0.990100075 3
"234" "852_1003340" "HARA-26-2" 2 0.693147181 2
"235" "852_1003355" "HARC-26-5" 24 1.465858632 6
"236" "852_1003361" "HOPG-27-5" 12 0.450561209 2
"237" "852_1003367" "KLNA-20-4" 13 1.156987644 4
"238" "852_1003400" "LILB-26-4" 14 1.437701444 5
"239" "852_1003406" "SKWA-24-5" 26 1.118890892 5
"240" "852_1003415" "SKWF-24-5" 24 1.163635098 4
"241" "852_1003421" "SLMC-28-2" 17 1.564370103 5
"242" "852_1003424" "SLMD-28-3" 11 1.546598686 5
"243" "852_1003427" "SQMB-25-4" 16 1.401392647 5
"244" "852_1003430" "SQMC-25-5" 31.66666667 1.218272655 5.333333333
"245" "852_1003436" "WELC-27-3" 20 1.43056229 5
"246" "852_1003439" "YALD-27-2" 10 1.695742534 6
"247" "852_1003442" "YALD-27-5" 24 0.917965328 4
"248" "852_1003445" "BESC-806" 27 1.443876846 5
"249" "852_1003448" "BESC-807" 14 1.747868097 6
"250" "852_1003451" "BESC-815" 13 1.201664083 4.333333333
"251" "852_1003454" "BESC-817" 21 1.392397954 6
"252" "852_1003463" "BESC-842" 9 1.676987774 6
"253" "852_1003466" "BESC-843" 9 1.676987774 6
"254" "852_1003472" "BESC-860" 23 1.861771101 7
"255" "852_1003475" "BESC-868" 15 1.714087541 6
"256" "852_1003490" "BESC-882" 15 1.062535408 4
"257" "852_1003496" "GW-4579" 29 1.22841409 5
"258" "852_1003505" "GW-7978" 37 1.323940611 7
"259" "852_1003517" "GW-9578" 30 0.756332035 3
"260" "852_1003520" "GW-9582" 29 1.450074644 7
"261" "852_1003526" "GW-9589" 13 0.53596105 3
"262" "852_1003532" "GW-9592" 4 0.562335145 2
"263" "852_1003535" "GW-9597" 31 1.305501041 8
"264" "852_1003538" "GW-9756" 13 1.692408863 7
"265" "852_1003541" "GW-9765" 25 1.261335058 6
"266" "852_1003547" "GW-9770" 15 1.806507165 7
"267" "852_1003550" "GW-9779" 10 1.054920168 3
"268" "852_1003553" "GW-9781" 10 1.088899975 4
"269" "852_1003559" "GW-11041" 8 1.073542846 4
"270" "852_1003568" "GW-9803" 11 0.759547391 3
"271" "852_1003574" "GW-9820" 5 0.950270539 3
"272" "852_1003580" "GW-10998" 19 1.572385492 7
"273" "852_1003592" "GW-9863" 14 0.955699891 3
"274" "852_1003595" "GW-9865" 12 1.632630927 6
"275" "852_1003598" "GW-9866" 18 1.692019808 7
"276" "852_1003604" "GW-9876" 19 1.264866749 5
"277" "852_1003607" "GW-9878" 13 1.220282166 4
"278" "852_1003616" "GW-9886" 24 2.051125036 9
"279" "852_1003625" "GW-9900" 43 0.833706854 4
"280" "852_1003631" "GW-9909" 18 1.050665277 5
"281" "852_1003646" "GW-9951" 10 1.088899975 4
"282" "852_1003652" "GW-9958" 9 1.310783678 4
"283" "852_1003667" "GW-9969" 14 1.437701444 5
"284" "852_1003670" "GW-9970" 9 1.522955068 5
